activity_seq_name,activity_seq_path,activity_seq_length,activity
SE7EN_SMILES_x3_smile_h_cm_np1_fr_med_3,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SE7EN_SMILES_x3_smile_h_cm_np1_fr_med_3,16,smile
smile_collection_7_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/smile_collection_7_smile_h_nm_np1_fr_goo_0,16,smile
SE7EN_SMILES_x3_smile_h_nm_np1_fr_med_8,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SE7EN_SMILES_x3_smile_h_nm_np1_fr_med_8,16,smile
YouTube_smiles!_smile_h_cm_np1_fr_bad_37,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_cm_np1_fr_bad_37,13,smile
Re-_Show_your_Smile!_10_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Re-_Show_your_Smile!_10_smile_h_nm_np1_fr_goo_0,16,smile
Re-_Show_your_Smile!_1_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Re-_Show_your_Smile!_1_smile_h_nm_np1_fr_goo_0,17,smile
Prelinger_ActYourA1949_smile_u_nm_np1_fr_med_19,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Prelinger_ActYourA1949_smile_u_nm_np1_fr_med_19,8,smile
youtube_smile_response_smile_h_nm_np1_fr_goo_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/youtube_smile_response_smile_h_nm_np1_fr_goo_0,29,smile
SMILES_FROM_OFF_THE_ROAD_3_-TRAVELS_WITH_A_HAT_smile_h_nm_np1_fr_med_1,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SMILES_FROM_OFF_THE_ROAD_3_-TRAVELS_WITH_A_HAT_smile_h_nm_np1_fr_med_1,16,smile
SE7EN_SMILES_x3_smile_h_cm_np1_fr_goo_9,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/SE7EN_SMILES_x3_smile_h_cm_np1_fr_goo_9,16,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_17,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_17,14,smile
show_your_smile_-)_smile_h_nm_np1_fr_med_0,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/show_your_smile_-)_smile_h_nm_np1_fr_med_0,16,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_19,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_19,9,smile
Prelinger_HabitPat1954_smile_h_nm_np1_fr_goo_27,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Prelinger_HabitPat1954_smile_h_nm_np1_fr_goo_27,24,smile
YouTube_smiles!_smile_h_nm_np1_fr_med_36,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/YouTube_smiles!_smile_h_nm_np1_fr_med_36,13,smile
Return_of_the_King_1_smile_h_nm_np1_fr_goo_6,/data/dev/projects/ai/Trackey/trackey/research/HMDB51/smile/Return_of_the_King_1_smile_h_nm_np1_fr_goo_6,13,smile
